location,month,temperature,humidity_level
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),January,30.1,83.7
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),February,31.1,83.4
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),March,26.6,87.7
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),April,28.3,73.0
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),May,30.0,82.3
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),June,28.9,85.4
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),July,30.2,82.2
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),August,28.3,85.8
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),September,29.3,79.7
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),October,27.6,78.7
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),November,30.1,71.0
Bangsamoro Autonomous Region of Muslim Mindanao (BARMM),December,26.8,73.0
Bicol Region (Region V),January,29.5,77.5
Bicol Region (Region V),February,29.2,91.2
Bicol Region (Region V),March,25.9,88.7
Bicol Region (Region V),April,28.3,86.2
Bicol Region (Region V),May,30.4,92.1
Bicol Region (Region V),June,29.6,86.9
Bicol Region (Region V),July,27.9,93.3
Bicol Region (Region V),August,26.0,77.6
Bicol Region (Region V),September,26.0,79.2
Bicol Region (Region V),October,28.6,82.1
Bicol Region (Region V),November,29.5,91.1
Bicol Region (Region V),December,25.9,77.0
CALABARZON (Region IV-A),January,25.9,88.7
CALABARZON (Region IV-A),February,24.6,81.4
CALABARZON (Region IV-A),March,24.1,74.2
CALABARZON (Region IV-A),April,26.2,81.9
CALABARZON (Region IV-A),May,24.2,76.9
CALABARZON (Region IV-A),June,24.0,86.2
CALABARZON (Region IV-A),July,25.1,72.4
CALABARZON (Region IV-A),August,28.8,90.3
CALABARZON (Region IV-A),September,27.1,87.6
CALABARZON (Region IV-A),October,26.0,78.1
CALABARZON (Region IV-A),November,25.4,85.4
CALABARZON (Region IV-A),December,25.4,75.7
Cagayan Valley (Region II),January,28.5,75.5
Cagayan Valley (Region II),February,25.8,71.1
Cagayan Valley (Region II),March,29.4,68.1
Cagayan Valley (Region II),April,26.9,81.6
Cagayan Valley (Region II),May,25.8,86.3
Cagayan Valley (Region II),June,26.1,69.0
Cagayan Valley (Region II),July,26.3,81.4
Cagayan Valley (Region II),August,27.8,82.0
Cagayan Valley (Region II),September,25.9,73.9
Cagayan Valley (Region II),October,25.9,74.3
Cagayan Valley (Region II),November,25.9,83.7
Cagayan Valley (Region II),December,27.1,79.3
Caraga (Region XIII),January,32.4,78.7
Caraga (Region XIII),February,31.9,80.2
Caraga (Region XIII),March,28.8,71.5
Caraga (Region XIII),April,31.3,69.4
Caraga (Region XIII),May,31.3,86.9
Caraga (Region XIII),June,30.9,75.0
Caraga (Region XIII),July,30.5,86.3
Caraga (Region XIII),August,31.1,74.3
Caraga (Region XIII),September,31.7,88.0
Caraga (Region XIII),October,30.3,76.6
